Frame,Object ID,X Center,Y Center,Velocity (m/s)
3.0,1,833.5944902572686,637.4240035644916,0
3.0,2,1007.913121816168,313.1409604238647,0
3.0,3,1251.043173364288,822.2085847945384,0
3.0,4,1129.4957358135532,715.6598014398969,0
3.0,5,1195.7368806832087,323.19930573147684,0
3.0,6,1185.3551041066012,698.7732910640252,0
3.0,7,1070.683224031875,721.0956327511065,0
3.0,8,917.6648204527776,221.44827469967152,0
3.0,9,574.242855044238,332.4580771087465,0
4.0,1,832.845847845238,638.0825313289606,0.2991173431783469
4.0,2,1008.9842226550531,314.34291901318545,0.48298709214141
4.0,3,1250.5176676878705,821.9538267535598,0.17520048169201963
4.0,4,1129.3268263629234,715.051103511446,0.18950968670527357
4.0,5,1196.2505531886923,322.7784220593229,0.19922405917408167
4.0,6,1185.2669455607845,698.5124406293824,0.08260350513658093
4.0,7,1070.5025361742996,722.1355413148004,0.31664682699299557
4.0,8,915.8385885226221,221.7155490451703,0.553705948553297
4.0,9,573.9245998329959,330.7108269414552,0.5327994532583619
5.0,1,833.1154804103214,637.8813457570534,0.10092552652692556
5.0,2,1010.3639483382854,315.3951250423498,0.520548022751245
5.0,3,1250.8599291991036,821.7219344030264,0.1240263294130608
5.0,4,1129.2297626769384,714.356044159449,0.21054120160716638
5.0,5,1195.7715491373583,323.03662256216444,0.16324862718435634
5.0,6,1185.1026978916482,696.534837236589,0.5953237126474852
5.0,7,1070.4175392855143,721.920448661598,0.06938327500799958
5.0,8,915.8130397538082,221.87241187634086,0.047678945722066955
5.0,9,573.5329591661034,328.4235179229778,0.6961787458817491
6.0,1,834.0840196897907,637.237431327504,0.3489161382927183
6.0,2,1011.2076806802351,316.2402550681501,0.35826193250539956
6.0,3,1250.5628184501988,821.754049428084,0.08965241477744697
6.0,4,1128.9831668301676,713.4543245109148,0.28044911349074036
6.0,5,1196.114557193162,323.0756370788663,0.10356591764366213
6.0,6,1184.6037237789274,695.4475520239271,0.3588938379179898
6.0,7,1070.2121623763549,721.3294372427697,0.18770369064065037
6.0,8,916.5260206514308,221.69381143582714,0.22050303624980253
6.0,9,573.3444193002408,326.93486042852044,0.45016481150143073
7.0,1,834.0015964822513,637.4134458096162,0.05830713056637954
7.0,2,1011.9880403663786,317.0238151724601,0.33175818138246527
7.0,3,1250.9129717447245,821.6780087618308,0.10749444698785376
7.0,4,1129.1341230414728,712.6260020277794,0.2525896518900554
7.0,5,1195.7688049141077,323.0742239790957,0.10372655001974225
7.0,6,1184.112413497738,693.4730374647925,0.610416594054677
7.0,7,1069.9787022583084,721.2043797276883,0.07945357633040917
7.0,8,916.2212875807834,221.6180577410209,0.09420232479122638
7.0,9,573.0613713744383,325.5705941392483,0.41799578618819344
8.0,1,834.0137287280279,637.0497494283337,0.1091696039339658
8.0,2,1012.3803177553095,317.63432420007746,0.21770221413707616
8.0,3,1250.9949212497804,821.5796971881782,0.03839635165438256
8.0,4,1129.7369226781404,711.140931339738,0.4808245122081036
8.0,5,1196.037468222752,323.00874496970687,0.08295825858469348
8.0,6,1183.8120226710626,691.8685861322452,0.48969877011659435
8.0,7,1069.9619854150337,721.0400555006446,0.049551704308054674
8.0,8,916.1153565403185,221.84082163043547,0.07400042039405381
8.0,9,572.0282183795345,324.0566537460861,0.5498616700984214
9.0,1,832.8835897326865,637.7035135874715,0.39168348856035595
9.0,2,1013.0245429862339,318.27998418713247,0.2736261446461335
9.0,3,1251.1818774340568,821.2396054657379,0.11642744309673858
9.0,4,1129.944690034292,709.9719659783545,0.3561857045639207
9.0,5,1195.6864575932705,323.08290241499503,0.10762760325802437
9.0,6,1184.021274651324,691.4540415049788,0.13930910785547215
9.0,7,1069.9468328228954,721.1857331298957,0.0439390662639129
9.0,8,916.0193064265726,221.77637695948806,0.03469995096209237
9.0,9,571.4972448885198,323.18418037499583,0.30640306269351936
10.0,1,832.6388603944431,637.788565245297,0.07772619259059789
10.0,2,1012.7350976871571,318.5817207557961,0.12543571430173878
10.0,3,1251.1592299327574,821.1895926732406,0.01647048832196282
10.0,4,1129.8682849282186,709.7541393416138,0.06925140108119275
10.0,5,1195.8761561160172,323.0670804641743,0.057107160053772095
10.0,6,1183.7500905545537,690.7213471646646,0.23438080757659432
10.0,7,1070.0508381984466,721.0705207093706,0.04656384647782621
10.0,8,915.4577839497173,221.5549796364373,0.18107783961627977
10.0,9,570.3807120500367,320.42000509889965,0.8943477781463676
11.0,1,831.5864993664477,638.5388911350108,0.38773797939026106
11.0,2,1012.7172850843631,318.8361295025528,0.07650946955780209
11.0,3,1251.119981457718,821.2455297916526,0.020499911239434326
11.0,4,1130.1897222582822,708.9682109748508,0.25473610253695594
11.0,5,1195.67810861317,323.05133585875865,0.05960170751357427
11.0,6,1183.7768790398254,689.9176033480672,0.24125703535762458
11.0,7,1069.835079883611,720.960380778663,0.07267338528054039
11.0,8,915.8929834288926,221.7689240391021,0.14548323432461052
11.0,9,569.3843466692622,318.42980633967693,0.6677028954479513
12.0,1,831.4533468646707,638.7622060187427,0.0779994957824236
12.0,2,1012.0425774729479,318.9004667455183,0.20333043981672416
12.0,3,1251.4330282980873,821.1627085031023,0.0971452114579332
12.0,4,1130.2683695815265,708.7181035289055,0.07865444829992257
12.0,5,1196.0100778514384,322.99441232390325,0.10104428612208433
12.0,6,1183.2810454768382,689.2265878107942,0.25515055466206904
12.0,7,1070.0000817352475,720.7290098063693,0.08525392898703672
12.0,8,916.0542515116372,221.68228929537435,0.05491964675740628
12.0,9,569.1703741149622,317.21279008794863,0.3707049406020914
13.0,1,831.0271765731488,639.5536058870504,0.2696555918277706
13.0,2,1012.7141149842105,319.05737928994927,0.20688783387848647
13.0,3,1251.9755341748153,820.8344728603865,0.19022253733196196
13.0,4,1130.524040003975,707.8745563282808,0.2644324715569311
13.0,5,1195.8294822741054,323.03597579867323,0.05559501460424276
13.0,6,1182.967450900875,687.8272585260181,0.4302112974777466
13.0,7,1070.0037053558794,720.5353730144257,0.058101208282298554
13.0,8,915.8373073346968,221.7839795932973,0.07187845528390208
13.0,9,568.6504418272351,315.93571928630985,0.41365631562899186
14.0,1,831.5408653456623,639.5601665399782,0.15411919979544328
14.0,2,1012.9473525174978,319.49282883547096,0.1481939432858579
14.0,3,1252.2723520729137,820.6603858528183,0.10323102041153417
14.0,4,1130.6315298635968,706.9599263475166,0.2762773723038083
14.0,5,1196.234069056688,322.846987570353,0.13396503781797317
14.0,6,1183.0658494298818,686.8232177295768,0.3026552778800273
14.0,7,1070.0466645109427,720.7085198158553,0.0535189438088634
14.0,8,915.6376899922623,221.74190831857143,0.061200790846125154
14.0,9,567.4290704773057,314.0158000087122,0.6826458969500684
15.0,1,831.4328155385106,639.9270369467756,0.11473525638977414
15.0,2,1013.1966347347325,319.6095434140878,0.08257573797551164
15.0,3,1252.6011414968443,820.7216428219276,0.10033414742637957
15.0,4,1131.0380351995582,706.2723121994832,0.23963593726039203
15.0,5,1196.4316757864967,322.71292466154745,0.07163738888653134
15.0,6,1182.8731318867715,685.8070449126151,0.31028575874810554
15.0,7,1070.2575445363889,720.7115407681415,0.06327049877818183
15.0,8,916.1675189097517,221.36956068359558,0.19427436752493657
15.0,9,566.2959244275892,312.66788570026995,0.5282805748465761
16.0,1,831.8750746423126,639.4607160419911,0.19280650171126512
16.0,2,1012.7172679822606,319.70132558055093,0.14642226760655366
16.0,3,1252.9738644496251,820.6626894191348,0.11320694011739785
16.0,4,1131.346204292111,705.4669652439338,0.2586883680368474
16.0,5,1196.4512025213535,322.47855278275995,0.07055517262858431
16.0,6,1183.0674373288484,685.9546756411555,0.07320825988034725
16.0,7,1070.2343347804235,720.8168822897683,0.03236043271582285
16.0,8,916.194365199717,221.4405753871155,0.022775930849981196
16.0,9,564.9990756199608,310.6130974373566,0.7289426912815787
17.0,1,831.3701242650989,639.635389884092,0.16029262338183944
17.0,2,1012.2686508575123,319.698770607019,0.13458732007752622
17.0,3,1253.274136593785,820.7057591595856,0.09100358607811518
17.0,4,1131.3879338424576,705.112646001629,0.10703043153966776
17.0,5,1196.3148666977509,322.3581963260766,0.05455806092274201
17.0,6,1182.9184995729152,685.0701515207512,0.2690927047036966
17.0,7,1070.117292778983,720.895084051692,0.04222903160417051
17.0,8,916.940330163201,221.0897662636886,0.2473009686682751
17.0,9,565.2046723198582,309.48263760619466,0.3447011008963377
18.0,1,831.0895502097101,639.5961174736647,0.0849927705750781
18.0,2,1011.7829999589528,319.7802640836127,0.14773225233477236
18.0,3,1253.6262953163855,820.6384452480409,0.1075603252746864
18.0,4,1131.5255687759845,704.5130534495146,0.18455599235196007
18.0,5,1196.5888943015748,322.18946959486095,0.09654214299246824
18.0,6,1182.7695618169816,684.1856274003468,0.2690927047037416
18.0,7,1070.0304361763262,720.7161270197957,0.05967639384311559
18.0,8,916.2519760919879,221.25962520644163,0.21270050517333983
18.0,9,564.1970528375973,307.4828370941603,0.6717923189549131
19.0,1,831.0549399533119,639.5583314470421,0.015372339738261334
19.0,2,1011.7221175102057,319.78075308170565,0.018265323747792165
19.0,3,1253.6111619069707,820.5819202887111,0.017554720154340297
19.0,4,1131.6089075754971,704.2159153197855,0.09258119748566337
19.0,5,1196.6227350655724,321.8184191863554,0.11177711870685585
