Frame,Object ID,X Center,Y Center,Velocity (px/s)
6.0,1,969.7537324793976,452.32363689310955,0
6.0,2,1289.4940739541066,453.50304662211306,0
6.0,3,1466.045990073942,436.5780054681046,0
6.0,4,1290.6007706455516,373.3911542100382,0
6.0,5,1540.0040204691243,392.5469740189111,0
6.0,7,1784.4053075749237,365.2713341884839,0
6.0,8,1064.711686308564,455.22635049319877,0
6.0,9,1773.9427385298238,434.57434096530824,0
7.0,1,969.3598652223286,452.43304797834384,12.263440854299205
7.0,2,1289.64428281371,453.38083463528284,5.809356599962852
7.0,3,1465.9189427099986,436.10279761779196,14.756936684669512
7.0,4,1289.9381767412826,373.13083454770936,21.35690304591218
7.0,5,1540.4172540973723,392.32797949825255,14.030273284371011
7.0,7,1787.5022906055494,365.36590829451364,92.95280166925485
7.0,8,1065.40906869886,457.2940244378509,65.46339408951823
7.0,9,1772.6882189955597,438.83230952281593,133.16795391052955
8.0,1,969.1964250949385,452.57256991346145,6.446793083249636
8.0,2,1289.479237051347,453.4759289755249,5.714432036354021
8.0,3,1466.7010866241396,435.7944796167869,25.22158169017964
8.0,4,1290.5580820970872,373.50361239401695,21.700722927304454
8.0,5,1540.7381692285308,392.2161388928003,10.1953596400983
8.0,7,1790.488261617322,365.9614696605042,91.34355259910748
8.0,8,1066.224106338273,457.55547802330454,25.678393600572093
8.0,9,1771.1125110516175,440.6047640729316,71.14777291767794
9.0,1,969.094536334223,452.73702180148905,5.8037202493214375
9.0,2,1289.4532845676292,453.2427074701312,7.039831091033374
9.0,3,1467.8003942091646,435.86826374781896,33.05342853679369
9.0,4,1290.8985188999193,373.2614313144378,12.533714645937323
9.0,5,1540.70061495636,392.35221969601463,4.235029814011217
9.0,7,1793.4515806027014,366.50116993350963,90.36195114323728
9.0,8,1066.228710147797,456.30553520919307,37.49853877486359
9.0,9,1768.6737063921723,437.29340505834773,123.37576756137094
10.0,1,968.4747579564454,453.19589433094563,23.134828987167236
10.0,2,1289.6114796825934,453.68189421123327,14.00427146132697
10.0,3,1473.4477071796882,436.908771481257,172.27106581591227
10.0,4,1290.111086848263,373.43757363005176,24.20677211428242
10.0,5,1540.184285607943,391.939747052382,19.825657870643322
10.0,7,1797.7032887687426,367.74796069114876,132.922377989052
10.0,8,1064.7533573911246,460.20213523573335,124.99656703729627
10.0,9,1767.7627102933284,434.32367984798157,93.18939609995297
11.0,1,968.3724120278627,452.81439295132554,11.849733860916247
11.0,2,1290.317100127738,454.03662291912474,23.69302433054111
11.0,3,1473.897562189853,437.4397230124572,20.877048469282524
11.0,4,1290.725200508825,373.20531198938966,19.697029015329118
11.0,5,1539.6479509063256,390.99357702023786,32.62826041482955
11.0,7,1803.0316371982217,369.5154262072406,168.41528494425742
11.0,8,1062.892564072661,463.7339830338433,119.76164068159682
11.0,9,1767.8767256943438,433.098757270741,36.90652176394024
12.0,1,968.142930973023,452.53469686880123,10.853677155636653
12.0,2,1291.4056803241785,453.5785801429545,35.43062271532572
12.0,3,1474.2669574230863,437.4449879938544,11.082982564639927
12.0,4,1292.0049684048906,372.77316628756597,40.52283551115664
